N_T	T_E1,K	T_D1,K		T_D2,K
15	96.358412411	163.015496596	262.697363767
25	94.8227917743	251.160497556	137.700504056
35	94.8497463253	253.365159486	136.565178413
45	93.3573398406	247.821766144	142.811093996
55	93.3543571358	247.741045872	142.861842623
65	92.6490176198	245.597032185	145.551406114
75	92.6541646291	246.888299743	144.52401183
85	92.1326533264	247.415659948	145.095630688
95	94.6194131907	249.875929285	138.715297247
105	94.7811233623	249.523650945	138.669261656
115	91.3866320954	246.885160411	146.960048228
125	88.6977583562	245.495454185	153.464489105
135	89.7460688554	245.676293221	151.292314974
145	91.30921472	247.827452946	146.218514151
155	96.2832494739	249.617027019	135.891188664
