T,K	C_bg	DC_p
6.01834756311	0.445493075588	-0.591391972494
11.0206780433	3.77905223179	-1.50551528555
13.1027181709	7.38796124816	-2.206346388
15.1824458841	12.5350950288	-2.50499750997
16.4297044084	16.2585492833	-2.83426098305
18.5059635	23.2594219618	-2.07604388561
19.7485971955	27.796970692	0.661407655158
21.4106450552	34.1223485682	-0.329880535487
22.6538568543	38.9676612363	1.61470588116
24.7306940495	47.1384051618	0.717950545334
26.3927419093	53.6508827678	-0.460437375142
28.0536335618	60.0686402796	-0.573902828927
29.7133690071	66.3494213047	0.41981057625
30.9571589098	70.9515335269	2.12249625263
32.618628666	76.9432165325	1.9500041188
34.6966220684	84.1689727977	1.02803407088
36.7746154708	91.0860837482	0.414709337642
38.4360852269	96.3934462391	0.92653771856
40.5158129401	102.762198258	-0.593731641732
42.1784389035	107.640943745	-0.623488629311
44.2581666167	113.490143121	-1.62420534679
45.502534623	116.861941478	0.823693008687
47.1657386899	121.227673168	0.821848631555
50.0785136956	128.514317402	-0.647122252392
52.1588195124	133.465406995	-1.23483037283
54.2391253292	138.229161302	-1.63520320694
56.7347985851	143.724925029	-1.31278774358
58.8145262983	148.144067871	-0.883447927139
61.3119338649	153.283421399	-1.65992582367
63.3916615782	157.442038112	-0.970059877714
65.4725454986	161.507377733	-1.15711921225
67.5540075226	165.49020864	-1.7467710195
68.8006879433	167.840039123	-0.217309534832
70.4650482175	170.939645976	0.0767685533272
72.5459321379	174.760442743	0.134252072769
74.6262379547	178.526071116	0.732005171562
76.2894420216	181.501668357	2.1202952446
78.3709040456	185.185705451	1.82943725026
80.0346862162	188.101019165	2.79290966332
82.5332499901	192.433518356	1.85308373145
83.7822428252	194.579866114	1.645623197
86.2796503918	198.834636986	1.75372795664
88.3616905195	202.345309247	1.15113360941
90.4431525435	205.822646234	1.06697572225
92.5251926711	209.268902676	0.528797194754
94.6066546951	212.682189847	0.508689123267
96.2710149693	215.388330644	1.19623326687
98.7690006395	219.410816437	1.05152191957
101.683509956	224.04369536	0.78101278841
104.597441169	228.609135534	1.06304359176
107.511950485	233.1071735	0.927375417032
112.924445472	241.27318241	1.00151074327
115.839532892	245.567457309	0.584504449579
119.171722062	250.384905506	-0.356180983134
121.669707732	253.93153313	-0.0250341611655
124.584217049	257.998584646	0.270284113424
127.915828115	262.553373556	0.0773591541191
131.663384724	267.556034174	0.406259018074
135.412097541	272.432221826	-0.108570524001
138.327184961	276.135860784	0.065059123253
140.409803192	278.734843829	-0.110947193432
142.492999527	281.295604684	-0.733832507334
144.158516008	283.315088566	-0.329833821418
145.824610593	285.310678279	-0.387042152019
147.490705178	287.28183191	-0.419814400303
149.572745306	289.71101084	0.0590845828482
151.65594164	292.103992182	-0.396021217712
154.155661622	294.926422684	-0.795980831726
156.238279853	297.23756497	-0.684146390105
158.321476188	299.513134415	-1.02184029358
160.404672522	301.752940614	-1.32377095108
163.737439796	305.263059625	-1.44222838409
167.487308819	309.106954212	-1.89496723406
171.237755946	312.842477695	-2.72443616562
174.569945116	316.072375628	-2.07757133431
177.486766847	318.832613605	-2.41584426483
180.402432371	321.530678949	-1.7217421901
184.151723291	324.912656257	-1.22746257399
188.735795814	328.917880988	-1.84254324923
192.902188483	332.438527662	-1.48743883979
196.652057507	335.51314127	-1.17089671082
200.81902828	338.82872283	-1.09582837408
204.986577157	342.041997743	-1.40355457624
208.73644618	344.8483862	-0.818787295321
212.903416954	347.875880972	-0.455632170915
217.90516933	351.387939903	-1.06315407281
222.072140103	354.21609516	-0.500659432034
226.657368834	357.229454682	-1.09407727106
230.824339607	359.881552898	-0.355525590129
234.991888484	362.454750789	-0.0231747704478
239.574226696	365.195886682	2.08113695157
243.741775573	367.611622986	2.57094935815
247.07512095	369.492623989	3.59650874702
250.408466327	371.329513272	4.66617985633
254.575437101	373.565620436	5.82072258923
258.742985977	375.73733913	6.55455260596
262.494589312	377.6388188	6.58892511494
265.411989146	379.083506348	7.08110142723
269.164170584	380.899119984	6.71623878389
271.247366919	381.88701472	7.66621958903
274.580712296	383.438612377	9.02118232399
276.246228777	384.200694594	10.6825826753
300.01004455	394.189137291	9.88222959851
304.181062049	395.784795594	8.28151288973
307.934399694	397.183782926	7.36307417805
311.687737339	398.548898466	6.47850725746
315.023973234	399.734680899	5.77377928637
318.360209129	400.895163661	5.09435098504
320.862241524	401.749269273	4.72231151514
324.197899316	402.866853909	4.57088252644
327.534135211	403.961092248	3.95769864836
330.869793003	405.032208967	3.85273757615
334.206028898	406.081161646	3.28483935837
338.376468293	407.36182991	2.48421387429
341.712126084	408.362374926	2.4498245053
345.04836198	409.34253361	1.95072028221
348.384019771	410.302483322	1.95692621739
352.137357416	411.359301527	1.38065663256
355.890695061	412.392078888	0.828427892116
360.060556352	413.512092522	0.67355822389
364.230417644	414.604150493	0.546644218961
368.400857039	415.669256346	-0.0384188543403
372.57071833	416.707942378	-0.11196092076
376.323477871	417.620931346	-0.0593000822968
380.910440912	418.709669238	-0.183399849305
385.080880307	419.67435628	-0.668044111751
389.250741599	420.615668089	-0.644211954279
393.42060289	421.534433022	-0.597832921112
397.590464181	422.431320197	-0.529576131142
400.926121973	423.13346471	-0.265564996035
404.261779764	423.822343859	0.0117115017541
407.180335806	424.414447607	0.386269240999
410.098891848	424.996838374	0.770539962144
413.434549639	425.650821056	1.08271292702
415.936003931	426.133270812	1.56743050006
418.437458223	426.609012969	2.05885567146
421.772537911	427.233067236	2.88605823802
424.273414099	427.693502422	3.87789156605
426.774868391	428.147716669	4.39084464833
429.276322683	428.59571172	4.91001692531
431.777776975	429.037594309	5.4353016646
434.278653163	429.473368982	6.45179550607
436.362427602	429.831951823	7.54598702106
438.446780144	430.186592742	8.15901927112
440.530554582	430.537152233	9.26123413509
442.197227271	430.814712749	10.4369538155
444.281001709	431.158245501	11.5461954186
445.948830605	431.430444929	11.7570738145
448.034339354	431.767404369	11.4175851708
449.705058768	432.034646657	9.20791477507
450.958676432	432.233611934	7.06702723187
452.629395846	432.49672038	4.86149067835
454.299537156	432.757413531	3.14347060649
455.97025657	433.015897794	0.942558235953
457.640975983	433.272108135	-1.25608021231
459.311695397	433.526069821	-3.45247000584
460.982414811	433.77780779	-5.64663608208
462.653712328	434.027432621	-8.32379020729
464.323275535	434.274625484	-9.54320880514
465.992260638	434.519585997	-10.2752938668
467.660089534	434.76225622	-10.0348862659
470.578645576	435.181877321	-9.48784587984
473.497779721	435.595281601	-9.41968985775
476.834015616	436.060193423	-9.40354721888
479.753727865	436.460574467	-9.80746914737
482.672283907	436.854864694	-9.2350978864
485.590839948	437.243335243	-8.65690694781
488.093450447	437.571889933	-8.98849668209
491.012584593	437.949912106	-8.88495855307
493.931718738	438.322417361	-8.77590350665
496.85027478	438.689435801	-8.17626045883
500.186510675	439.102477294	-8.108247491
503.523902777	439.50886227	-9.00378037827
506.860138673	439.908451406	-8.92231505318
510.195796464	440.301457794	-8.34916579346
513.532032359	440.688152903	-8.25480644212
517.701893651	441.162701831	-7.7642114043
521.038129546	441.535520315	-7.65597542722
525.208568941	441.993188185	-7.63360051699
529.379586439	442.44183688	-8.08730761906
532.715244231	442.794249523	-7.47356461477
536.051480126	443.141174261	-7.3394348916
