N_T	T_E1,K	T_E2,K		T_D,K
26	177.673985802	366.908101995	129.730702988
36	178.364614931	359.920909339	129.544029386
46	179.37352041	373.471131356	129.299141889
56	180.152948056	396.506318773	129.111313003
66	168.191696727	471.261842725	135.264860892
76	166.605277947	516.20142823	136.38358355
86	165.442503273	544.33402991	137.282439793
96	164.258679353	568.395194812	138.254081147
106	163.349187716	585.389631569	139.030826938
116	162.834344529	594.0255299	139.479565957
126	162.905258257	593.431919921	139.418657071
136	162.779794203	606.77666818	139.568669141
146	162.400560804	625.992961736	139.950162118
