T,K	C_bg	DC_p
74.16	126.510743292	5.52351670792
74.2	126.550791611	5.81604838874
74.45	126.800307155	5.81596784498
74.71	127.058378125	5.89047687513
74.96	127.305170302	6.05940969803
75.11	127.452615953	6.24454404729
75.22	127.560445202	6.46929479814
75.48	127.814322208	6.63114279165
75.76	128.086185934	6.9412940658
76.05	128.366096577	7.16025342279
76.06	128.375718793	7.31692120733
76.35	128.653905322	7.3713146779
76.64	128.930450215	7.8430747847
76.94	129.214829459	8.14071054082
76.99	129.262059595	8.42606040516
77.24	129.497504433	8.77263056682
77.54	129.778501351	9.40622864889
77.85	130.067129429	10.0321955711
77.92	130.132062257	10.299842743
78.17	130.363247525	10.5675274751
78.5	130.666714271	11.178655729
78.83	130.968279393	10.8770906072
78.84	130.97738839	10.7848366103
79.17	131.277028339	10.3189066613
79.51	131.583828365	9.51323663484
79.79	131.835048292	8.92943670764
79.86	131.897652653	8.78368734663
80.2	132.200603279	8.06501172088
80.55	132.510536573	6.92362842698
80.75	132.686777019	6.58109798112
80.92	132.83609345	6.09920154951
81.3	133.168259705	5.35131029451
81.69	133.506906486	4.76322851367
81.72	133.53286273	4.57098227049
82.07	133.834712007	4.10284299279
82.46	134.168974654	3.6854353457
82.69	134.365092089	3.48931791081
82.85	134.501085013	3.35332498659
83.25	134.839522154	3.0980328463
83.64	135.167409101	2.7701458985
83.66	135.18416902	2.75338598021
84.06	135.518261034	2.58558396609
84.48	135.866823804	2.32016619579
84.63	135.990765618	2.36251438159
84.91	136.221368128	2.0487668719
85.34	136.57362156	1.94594844032
85.6	136.785523094	1.90033690584
85.77	136.923637315	1.84536768538
86.2	137.271467479	1.8301175206
86.57	137.569052717	1.69882228256
86.64	137.625177463	1.72584253687
87.07	137.968740375	1.79800462505
87.52	138.326104769	1.60693023115
87.53	138.334021309	1.59901369092
87.99	138.69703194	1.65172806008
88.45	139.057829262	1.54036573842
88.5	139.096915368	1.41813463219
88.92	139.424241882	1.42338811758
89.39	139.788459935	1.3917500648
89.46	139.842520894	1.25454410637
89.86	140.150539932	1.27910506775
90.33	140.510536994	1.41797800606
90.8	140.868504874	1.47573512627
91.15	141.133789712	1.29359528846
91.29	141.239601469	1.27092853137
91.79	141.616116695	1.22699330499
92.29	141.990514826	1.10203017408
92.79	142.362854086	1.22856091436
93.3	142.740577809	1.10027219124
93.58	142.947090928	1.14319407179
93.8	143.108929287	1.23079071331
94.31	143.482698457	1.18960154282
94.81	143.847280597	1.24074440256
95.33	144.224549023	1.02976597688
95.86	144.6071387	1.14604630042
95.98	144.693497546	1.1428324543
96.39	144.987832407	1.26422259318
96.93	145.373815966	1.12767403371
98.34	146.373055478	1.12617452228
98.4	146.415310285	1.16706471509
100.66	147.992135097	1.16999490319
100.75	148.054358702	1.19091629848
102.96	149.569672492	1.08906750843
103.05	149.630889629	1.19414037126
105.22	151.09612232	1.05922768038
105.32	151.163165693	1.15847430704
107.55	152.648086661	1.17016333943
109.77	154.108457287	1.12325771323
111.96	155.533381688	1.11179831249
114.49	157.162054707	1.06288029331
117.35	158.982907596	1.07121740411
120.19	160.771900537	0.945124463205
123.1	162.587065986	0.876004014469
126.05	164.410166336	0.882093664139
128.99	166.21119994	0.827105060042
131.9	167.979082482	0.722122517852
134.8	169.726864756	0.720385243704
137.67	171.443181498	0.583823502401
140.62	173.193728008	0.496176992428
143.62	174.959948361	0.476001638603
146.62	176.712116435	0.303588564644
149.6	178.438681029	0.156778970648
152.64	180.185648086	0.0727119138479
155.75	181.957729856	-0.0364698561013
158.85	183.708777256	-0.124617255907
161.93	185.433229344	-0.186169343808
165.07	187.175440156	-0.265480156072
168.28	188.939828651	-0.450113651416
171.48	190.68183179	-0.446071790278
174.66	192.396141228	-0.580626227893
177.91	194.130795118	-0.652380118098
181.21	195.87408869	-0.8159186902
184.51	197.599165609	-0.878095608958
187.79	199.295732213	-0.994907213085
191.14	201.009948742	-1.04622374152
194.54	202.730627157	-1.10400215683
197.92	204.422166173	-1.04949617275
201.3	206.094844543	-1.30870954278
204.73	207.773110532	-1.40722053152
208.22	209.461078438	-1.34914343805
211.7	211.124639163	-1.34980416327
215.17	212.764145955	-1.40955595535
218.69	214.407814714	-1.47346971447
222.27	216.059616483	-1.46237148331
225.84	217.687068933	-1.51006893265
229.4	219.290576475	-1.36753147458
233.02	220.901508277	-1.31556327661
236.69	222.514776889	-1.26593188891
240.35	224.103948488	-1.02591348795
243.99	225.665187707	-1.09054270738
247.7	227.23696934	-1.16571433957
251.45	228.805989512	-1.07183451227
255.2	230.355475158	-0.958420157912
258.66	231.76804536	-0.791235360029
261.85	233.056043927	-0.582623927179
266.28	234.822198768	-0.103863768497
269.44	236.066250582	-0.0175955818891
272.58	237.289586123	-0.0769011227949
274.17	237.904210455	-0.0263654550606
275.71	238.496431493	-0.0365714929685
277.29	239.100907542	0.107257457836
278.82	239.683252846	0.0237821540071
280.39	240.277769787	0.260715213391
281.92	240.854180979	0.349464021414
283.48	241.438903931	0.346756068544
285.01	242.009465368	0.441354632448
286.56	242.58455585	0.531424149946
288.08	243.145667786	0.718617214155
289.62	243.711302463	0.901287536816
291.14	244.266783153	0.844676847351
292.67	244.823116022	0.870358978303
294.18	245.36943451	0.656620489692
295.71	245.920225265	1.02042473455
297.21	246.457529644	0.898845356342
298.74	247.002854114	1.26811588614
300.24	247.534827201	1.23501279863
301.76	248.071221836	1.44692316445
